单词,解释,次数
belief,信仰,9
optimistic,乐观,9
baseball,棒球,9
petrol,汽油,9
prosperity,繁荣,9
deputy,副,9
recommendation,建议,9
clarify,澄清,9
comedy,喜剧,9
remark,备注,9
sponsor,赞助,9
curtain,窗帘,9
poisonous,有毒,9
delegate,代表,9
fatal,致命,9
clash,冲突,9
naval,海,9
bang,砰,9
banner,旗帜,9
typewriter,打字机,9
settlement,沉降,9
bankrupt,破产者,9
injection,注射,9
weep,哭泣,9
pray,祈祷,8
excursion,短途旅行,8
inherit,继承,8
pretend,假装,8
costly,昂贵,8
spite,尽管,8
controversial,争论的,8
compromise,妥协,8
tolerate,容忍,8
permission,允许,8
alcohol,醇,8
realm,领域,8
finance,金融,8
poetry,诗歌,8
gesture,手势,8
hostile,敌对,8
immense,巨大,8
luggage,行李,8
upright,直立,8
refresh,刷新,8
baggage,行李,8
pepper,胡椒,8
rack,架,8
goodness,善良,8
journalist,记者,8
loyalty,忠诚,8
alliance,联盟,8
accountant,会计,8
sorrow,悲哀,8
retire,退休,8
jaw,颚,8
vitamin,维他命,8
handful,少数,8
heal,愈合,8
determination,决心,8
punch,冲床,8
intention,意向,8
evident,明显,8
loyal,忠诚,7
appreciate,欣赏,7
rally,团结,7
applicable,适用,7
boot,靴,7
copyright,版权,7
halt,停,7
gasoline,汽油,7
initiative,倡议,7
scout,侦察,7
religion,宗教,7
inn,旅店,7
unite,团结,7
scare,吓,7
wander,漫步,7
crude,原油,7
flood,洪水,7
excitement,激动,7
dominant,优势,7
flee,逃跑,7
charm,魅力,7
collective,集体,7
pierce,刺穿,7
deserve,值得,7
strengthen,加强,7
climate,气候,7
postage,邮资,7
offensive,进攻,7
guilty,有罪,7
substance,物质,7
saucer,茶托,7
diverse,多种,7
defect,缺陷,7
conclude,得出结论,7
decade,十,7
surgery,手术,7
fascinating,迷人,7
reputation,声誉,7
stove,火炉,7
grave,坟,7
damn,该死的,7
rumor,谣言,7
hazard,冒险,7
graceful,优美,7
institute,研究所,7
invasion,侵入,7
expose,暴露,7
antique,古董,7
sincere,真诚,7
continual,持续,7
essay,文章,7
creep,爬行,7
behalf,代表,7
carrier,支架,7
civilian,平民,7
lag,落后,7
organic,有机,7
golf,高尔夫球,7
bloody,血腥,6
promote,促进,6
democracy,民主,6
workshop,作坊,6
ridiculous,荒谬,6
plantation,种植园,6
comprehensive,全面,6
ache,疼痛,6
brass,黄铜,6
supplement,补充,6
influential,有影响,6
attitude,态度,6
rib,肋骨,6
sexual,有性,6
accustomed,惯常的,6
instruct,指导,6
scarce,稀缺,6
relieve,缓解,6
distress,苦难,6
pump,泵,6
vanish,消失,6
realistic,实际,6
clumsy,笨拙,6
decay,衰变,6
convey,传达,6
pursue,追求,6
exert,发挥,6
leisure,闲暇,6
nerve,神经,6
mate,伴侣,6
hut,棚屋,6
disturb,打扰,6
poll,轮询,6
generous,慷慨,6
consult,请教,6
perception,知觉,6
accent,口音,6
remedy,补救,6
auxiliary,辅,6
invest,投资,6
congress,国会,6
undo,解开,6
stadium,体育场,6
edition,版,6
drill,钻头,6
saddle,鞍,6
cashier,出纳员,6
violent,暴力,6
historic,历史性,6
cart,大车,6
interrupt,打断,6
enthusiasm,热情,6
canal,运河,6
porter,搬运工,6
prohibit,禁止,6
mat,垫,6
underline,强调,6
oral,口服,6
tutor,导师,6
accommodation,住所,6
cancer,癌症,6
forbid,禁止,6
flock,群,6
relief,浮雕,6
thirsty,渴,5
faith,信仰,5
rainbow,彩虹,5
infant,婴儿,5
ban,禁止,5
naked,裸,5
gum,胶,5
worthless,无用,5
intense,激烈,5
infect,感染,5
bureau,局,5
swallow,吞,5
pea,豌豆,5
anchor,锚,5
ripe,成熟,5
digest,消化,5
greenhouse,温室,5
eagle,鹰,5
jet,喷射,5
outset,开始,5
synthetic,合成的,5
endure,忍受,5
drain,排水,5
fur,毛皮,5
intensive,集约,5
organism,生物,5
cabin,舱,5
adapt,适应,5
integrate,整合,5
conscience,良心,5
ambition,志向,5
brake,制动,5
implication,意义,5
steer,驾驶,5
strain,应变,5
undoubtedly,无疑,5
burden,负担,5
drip,滴,5
frank,坦率,5
philosopher,哲学家,5
react,应对,5
considerate,周到,5
luxury,豪华,5
amuse,游玩,5
grip,握,5
admission,入场,5
anticipate,预料,5
courtyard,庭院,5
dispose,部署,5
tolerance,公差,5
terror,恐怖,5
globe,地球,5
boom,繁荣,5
tissue,组织,5
nuisance,滋扰,5
bacon,培根,5
politics,政治,5
fantasy,幻想,5
leadership,领导,5
employment,雇用,5
glorious,辉煌,5
recruit,招,5
institution,机构,5
guidance,指导,5
engage,从事,5
conservation,保护,5
bargain,讨价还价,5
powder,粉末,5
bolt,螺栓,5
governor,州长,4
prevail,战胜,4
ownership,所有权,4
delicate,精巧,4
discourage,不鼓励,4
rhythm,韵律,4
profession,职业,4
pronoun,代词,4
emphasize,注重,4
urge,敦促,4
politician,政治家,4
impose,强加,4
imitate,模拟,4
bump,磕碰,4
whisper,耳语,4
venture,冒险,4
bake,烤,4
semiconductor,半导体,4
preface,前言,4
agriculture,农业,4
dictate,听写,4
summarize,总结,4
acknowledge,确认,4
deny,拒绝,4
flour,面粉,4
ashamed,羞愧,4
certificate,证书,4
publication,出版物,4
convict,定罪,4
overtake,超过,4
grasp,把握,4
democratic,民主的,4
spill,洒,4
beast,兽,4
liver,肝,4
precaution,预防,4
comparative,比较,4
depression,萧条,4
rage,愤怒,4
insect,昆虫,4
suggestion,建议,4
squeeze,挤,4
bride,新娘,4
headline,标题,4
controversy,争议,4
onion,洋葱,4
jealous,妒,4
ambassador,大使,4
revise,修改,4
gym,健身房,4
excessive,过多,4
pint,品脱,4
stiff,僵硬,4
moderate,中等,4
chin,下巴,4
barely,仅仅,4
sigh,叹,4
boast,夸,4
spectacular,壮观,4
accord,符合,4
offend,得罪,4
statue,雕像,4
navy,海军,4
stimulate,刺激,4
steep,陡,4
painful,痛苦,4
furnish,装设,4
wool,羊毛,4
smash,粉碎,4
competent,胜任,4
harsh,苛刻,4
protest,抗议,4
attain,达到,4
confront,面对,4
helpless,无助,4
arouse,引起,4
electron,电子,4
entertain,招待,4
murder,谋杀,4
unity,统一,4
fiction,小说,4
prominent,突出,4
slam,猛撞,4
cooperate,合作,4
whoever,谁,4
recreation,娱乐,4
tender,投标,4
widespread,广泛,4
cartoon,动画片,4
insure,保证,4
quiz,测验,4
swift,迅速,4
inference,推理,4
shallow,浅,4
relativity,相对论,3
faithful,可信,3
fashionable,时髦,3
poet,诗人,3
cautious,谨慎,3
suspend,暂停,3
reproduce,复制,3
miracle,奇迹,3
lick,舔,3
rug,地毯,3
stem,干,3
overnight,过夜,3
selfish,自私,3
restraint,克制,3
radical,激进,3
dusk,黄昏,3
triumph,胜利,3
deliberate,商榷,3
accidental,偶然,3
brow,眉头,3
oval,椭圆,3
evidently,明显地,3
acquisition,获得,3
tense,紧张,3
whip,鞭子,3
hesitate,迟疑,3
punctual,准时,3
farewell,告别,3
toast,烤面包,3
ribbon,色带,3
exposure,曝光,3
vague,模糊,3
contemporary,现代的,3
prejudice,偏见,3
cultivate,培育,3
fabric,布,3
cruise,巡航,3
dialect,方言,3
cigarette,香烟,3
regulate,调节,3
sleeve,袖,3
typist,打字员,3
substantial,大量的,3
passion,情,3
reluctant,不情愿,3
psychological,心理,3
embarrass,阻碍,3
reporter,记者,3
sour,酸,3
vain,徒然,3
sticky,黏,3
allowance,津贴,3
fertile,沃,3
gaze,凝视,3
envy,羡慕,3
fisherman,渔,3
moral,道德,3
provision,规定,3
wreck,破坏,3
appeal,上诉,3
educate,教育,3
roar,怒吼,3
disguise,伪装,3
wit,风趣,3
approval,赞同,3
accompany,陪,3
enlarge,放大,3
withstand,经受,3
threaten,威胁,3
supreme,最高,3
genuine,真正,3
sympathetic,有同情心,3
outward,向外,3
lid,盖,3
stir,搅拌,3
prompt,提示,3
sheer,绝对,3
automobile,汽车,3
awkward,尴尬,3
reinforce,加强,3
bathe,洗澡,3
restrain,抑制,3
temptation,诱惑,3
whatsoever,任何,3
nonsense,废话,3
breeze,微风,3
swear,发誓,3
breadth,宽度,3
hardship,苦,3
flame,火焰,3
dive,潜水,3
kindness,善良,3
saint,圣,3
dim,暗淡,3
equip,装备,3
cop,警察,3
philosophy,哲学,3
grateful,感激,3
comparable,可比,3
indispensable,不可缺少,2
coil,盘,2
commerce,商业,2
sympathy,同情,2
distinction,分别,2
gross,毛,2
noticeable,显,2
veteran,老将,2
adequate,充足,2
inflation,通货膨胀,2
myth,神话,2
mature,成熟,2
protective,保护的,2
mercy,怜悯,2
devote,奉献,2
fertilizer,肥料,2
decent,正经,2
await,等待,2
discharge,卸货,2
approve,批准,2
beard,胡子,2
perceive,感知,2
sausage,香肠,2
garlic,大蒜,2
fearful,可怕,2
recorder,录音机,2
chew,嚼,2
rifle,步枪,2
nursery,苗圃,2
virtue,美德,2
comprehension,理解,2
gulf,海湾,2
prospect,展望,2
timber,木材,2
fame,名誉,2
affection,感情,2
poverty,贫穷,2
circumstance,环境,2
heroic,英勇,2
elderly,老年,2
nitrogen,氮,2
ambulance,救护车,2
temper,脾气,2
spiritual,精神,2
faint,晕,2
scatter,分散,2
recession,不景气,2
rotten,烂,2
nationality,国籍,2
appetite,食欲,2
shed,棚,2
uneasy,不安,2
chill,寒意,2
annoy,搅扰,2
humorous,幽默,2
fade,褪色,2
charity,慈善机构,2
hatred,仇,2
indoor,室内,2
suck,吮吸,2
rust,锈,2
treaty,条约,2
dairy,乳制品,2
conductor,导体,2
horror,恐怖,2
minority,少数民族,2
purse,钱包,2
scream,惊叫,2
utter,说出,2
studio,工作室,2
spit,吐,2
journal,日志,2
beggar,乞丐,2
liable,容易,2
privilege,特权,2
youngster,青少年,2
slippery,滑,2
occupation,占用,2
lorry,货车,2
suspicion,怀疑,2
evolve,发展,2
owing,亏欠的,2
owe,欠,2
lest,免得,2
wax,蜡,2
niece,侄女,2
bore,孔,2
decline,下降,2
federal,联邦,2
independence,独立,2
senate,参议院,2
marvelous,奇妙,2
damp,潮湿,2
fry,炒,2
passport,护照,2
lobby,前厅,2
republican,共和党人,2
legislation,立法,2
operational,操作,2
urban,城市的,2
welfare,福利,2
congratulate,祝贺,2
bloom,盛开,2
eyesight,眼力,2
modest,谦虚,2
maid,女佣,2
shortcoming,缺点,2
dye,染料,2
glove,手套,2
folk,民间,2
acquaintance,熟人,2
haste,赶快,2
pollute,污染,2
sauce,酱,2
guitar,吉他,2
lamb,羊肉,2
miserable,惨,1
bark,吠,1
wrist,腕,1
wholly,全,1
wagon,车皮,1
chemist,化学家,1
frown,皱眉,1
utmost,极,1
tune,调,1
pessimistic,悲观,1
necessity,必要性,1
cheerful,快乐,1
undertake,承担,1
applause,掌声,1
horn,喇叭,1
scandal,丑闻,1
ounce,盎司,1
tremble,颤抖,1
glow,辉光,1
balcony,阳台,1
handwriting,手写,1
colleague,同事,1
barber,理发师,1
intimate,亲密,1
shiver,发抖,1
stale,陈旧,1
pigeon,鸽子,1
superficial,浅,1
deceive,欺骗,1
overseas,海外,1
readily,容易,1
instinct,直觉,1
anxiety,焦虑,1
moist,湿,1
gratitude,感谢,1
suburb,市郊,1
persist,坚持,1
fruitful,卓有成效,1
sack,解雇,1
speculate,推测,1
plunge,跳水,1
paw,爪子,1
fluid,流体,1
renew,更新,1
afterward,之后,1
torch,火炬,1
symptom,症状,1
physician,医师,1
undergo,经历,1
conscious,意识,1
literary,文,1
cushion,坐垫,1
vacuum,真空,1
jazz,爵士乐,1
nucleus,核,1
sting,刺,1
criticism,批评,1
retreat,撤退,1
curriculum,课程,1
memorial,纪念馆,1
merry,快活,1
pose,提出,1
moisture,湿气,1
thoughtful,周到,1
handy,便利,1
forehead,前额,1
dispute,争议,1
rude,无礼,1
limb,肢,1
anyhow,无论如何,1
obligation,义务,1
motive,动机,1
musician,音乐家,1
